"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"451",0.6,0.257142857142857,0.23,0.08,0.046,21.4653163908455,0.07,0.019,0.088,0,0.16,0.2,0.1,0.472,0.45,0.04,6.29,16.7,40.8,6.29,16.7,40.8,0,0.03,0,1350,622.81,903.93,1282.35,0.75,0.75,0.018,10889293.5358183,38.580273818874,282250.29161123
"452",0.8,0.25,0.65,0.16,0.046,67.1023107182812,0.08,0.058,0.026,0,0.13,0.3,0.32,0.6598,0.46,0.37,6.79,8.2,35.3,6.79,8.2,35.3,0.03,0.06,0,900,422.81,653.93,1832.35,1,0.7,0.02,6447161.87837361,81.2037998479136,79394.8299272754
"453",0.2,0.25,0.47,0.54,0.048,80.6525711724905,0.06,0.017,0.067,0,0.39,0.42,0.16,0.321,0.3,0.03,5.79,12.7,27.8,5.79,12.7,27.8,0.06,0.03,0,550,622.81,1153.93,1182.35,0.95,0.8,0.015,4408293.50844296,322.53285659147,13667.7346768011
"454",0.7,0.271428571428571,0.3,0.54,0.046,47.6425364647981,0.07,0.094,0.035,0,0.13,0.19,0.15,0.6865,0.45,0.43,6.79,22.2,34.8,6.79,22.2,34.8,0,0.03,0,2100,622.81,803.93,1482.35,0.9,0.8,0.019,16849942.705292,152.728781947621,110325.915589838
"455",0.8,0.225,0.15,0.36,0.048,82.4571273815376,0.08,0.078,0.027,0,0.19,0.48,0.47,0.24,0.24,0,6.29,20.2,31.8,6.29,20.2,31.8,0.06,0,0,1550,372.81,1053.93,1282.35,0.75,0.7,0.018,13494236.8401436,69.2825520491961,194771.070652271
"456",0.6,0.333333333333333,0.47,0.16,0.046,55.3232684674881,0.06,0.087,0.044,0,0.27,0.36,0.3,0.6004,0.46,0.26,6.29,10.7,18.8,6.29,10.7,18.8,0.06,0.06,0,1900,572.81,1253.93,1932.35,0.9,0.65,0.02,14064727.4852972,112.043989496078,125528.620933206
"457",0.9,0.257142857142857,0.08,0.82,0.048,50.6511477738904,0.07,0.038,0.071,0,0.46,0.23,0.42,0.6766,0.67,0.02,5.79,11.2,39.3,5.79,11.2,39.3,0.03,0.03,0,1950,572.81,1103.93,1732.35,0.9,0.7,0.018,15652915.3232475,141.956757369943,110265.376677037
"458",0.3,0.357142857142857,0.36,0.83,0.048,34.1811275605615,0.07,0.043,0.022,0,0.34,0.46,0.17,0.764,0.6,0.41,6.29,11.2,35.8,6.29,11.2,35.8,0.03,0,0,1450,372.81,853.93,2082.35,0.8,0.8,0.025,12472824.3250045,435.138986888365,28664.0009303612
"459",0.6,0.3,0.04,0.61,0.047,85.8497166388497,0.06,0.099,0.006,0,0.22,0.47,0.27,0.5515,0.35,0.31,6.79,10.2,22.8,6.79,10.2,22.8,0.03,0.03,0,2400,672.81,1203.93,1882.35,0.75,0.8,0.018,19377657.0320862,170.484744651067,113662.11722783
"460",1,0.4,0.18,0.26,0.05,45.5865764263232,0.06,0.032,0.074,0,0.43,0.25,0.1,0.838,0.82,0.1,6.29,16.2,23.3,6.29,16.2,23.3,0.03,0,0,1550,422.81,853.93,1682.35,0.95,0.65,0.024,13232069.0128996,92.4935021356828,143059.44425684
"461",0.9,0.328571428571429,0.67,0.75,0.046,71.7481016883947,0.07,0.008,0.026,0,0.44,0.27,0.27,0.6315,0.45,0.33,6.29,22.2,25.3,6.29,22.2,25.3,0.03,0.03,0,2100,472.81,1253.93,1632.35,1,0.7,0.023,16348590.9981178,246.655449983506,66281.0856164381
"462",0.4,0.242857142857143,0.85,0.72,0.045,55.4961059769095,0.07,0.006,0.052,0,0.38,0.1,0.5,0.93,0.9,0.3,5.79,19.2,31.3,5.79,19.2,31.3,0.06,0,0,1150,422.81,1003.93,1082.35,0.9,0.8,0.017,9648270.20862509,429.102252513345,22484.7810798314
