"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"850",0.8,0.185714285714286,0.59,0.18,0.054,37.8533791454873,0.07,0.059,0.04,0,0.16,0.44,0.48,0.5041,0.13,0.43,6.29,12.2,20.3,6.29,12.2,20.3,0.03,0.03,0,1350,522.81,1103.93,1132.35,0.8,0.75,0.013,10611539.4668415,47.0575858789693,225501.144366693
"851",0.8,0.4,0.04,0.06,0.045,45.519493236477,0.05,0.017,0.068,0,0.41,0.37,0.11,0.4384,0.22,0.28,6.29,20.7,26.8,6.29,20.7,26.8,0.06,0,0,900,672.81,1303.93,2032.35,0.95,0.8,0.02,7733511.06842106,38.0380967033061,203309.622159641
"852",0.7,0.3,0.45,0.56,0.045,63.4134891113666,0.06,0.068,0.09,0,0.36,0.45,0.49,0.6114,0.33,0.42,6.29,23.7,32.8,6.29,23.7,32.8,0.03,0.06,0,1350,622.81,903.93,1382.35,1,0.75,0.018,9893568.19862916,229.460789658323,43116.5961442088
"853",0.6,0.261538461538462,0.65,0.22,0.05,83.1186321673557,0.065,0.045,0.045,0,0.35,0.31,0.29,0.7756,0.67,0.32,6.29,21.2,22.8,6.29,21.2,22.8,0.06,0.03,0,1250,422.81,653.93,1482.35,0.75,0.8,0.017,9764166.52237492,106.736001181574,91479.5983949652
"854",0.9,0.218181818181818,0.03,0.84,0.055,42.8770819710286,0.055,0.097,0.097,0,0.45,0.37,0.12,0.9085,0.85,0.39,5.79,22.7,29.3,5.79,22.7,29.3,0,0.03,0,1200,422.81,953.93,1082.35,0.95,0.65,0.012,9448015.4278027,171.277416321889,55162.0618216626
"855",0.9,0.3,0.66,0.42,0.053,42.6554636062941,0.06,0.01,0.077,0,0.22,0.28,0.5,0.9016,0.88,0.18,6.29,20.7,40.8,6.29,20.7,40.8,0.06,0,0,1250,472.81,653.93,1632.35,1,0.85,0.018,10290313.9431951,105.023529214294,97981.033585325
"856",0.9,0.309090909090909,0.32,0.37,0.054,40.1274640065854,0.055,0.069,0.034,0,0.17,0.22,0.32,0.8516,0.72,0.47,5.79,10.2,20.8,5.79,10.2,20.8,0,0.03,0,2000,472.81,1103.93,1432.35,0.85,0.8,0.017,15832917.5888951,58.9342519914762,268653.916082367
"857",0.3,0.214285714285714,0.81,0.24,0.053,74.1270508357157,0.07,0.049,0.099,0,0.12,0.15,0.22,0.8613,0.81,0.27,6.79,15.7,24.8,6.79,15.7,24.8,0.03,0.06,0,1800,622.81,953.93,1732.35,0.95,0.75,0.015,12964692.6920178,191.328702550081,67761.3579103441
"858",0.3,0.218181818181818,0.47,0.85,0.049,43.615374857711,0.055,0.031,0.063,0,0.37,0.22,0.43,0.568,0.46,0.2,6.79,23.7,29.8,6.79,23.7,29.8,0.06,0.03,0,2150,472.81,953.93,2082.35,0.95,0.75,0.012,17321234.8693682,563.855079924938,30719.3026826575
"859",0.2,0.153846153846154,0,0.67,0.051,39.0448357985332,0.065,0.095,0.027,0,0.1,0.14,0.2,0.766,0.61,0.4,6.29,9.7,40.3,6.29,9.7,40.3,0.06,0.03,0,700,622.81,953.93,1132.35,1,0.75,0.01,5543845.34766795,527.75654038218,10504.5507226747
"860",0.6,0.316666666666667,0.32,0.59,0.052,78.2915205682493,0.06,0.044,0.061,0,0.17,0.42,0.32,0.8642,0.86,0.03,5.79,17.2,23.8,5.79,17.2,23.8,0.03,0.06,0,700,422.81,803.93,1982.35,0.9,0.75,0.019,5017558.55223916,250.524679695127,20028.2006481166
"861",1,0.327272727272727,0.16,0.26,0.052,90.5479051642751,0.055,0.095,0.034,0,0.19,0.13,0.33,0.76,0.75,0.04,6.29,11.7,35.8,6.29,11.7,35.8,0,0,0,2300,422.81,1203.93,1132.35,1,0.75,0.018,19789798.7573241,31.6240098653352,625783.980007441
"862",0.9,0.309090909090909,0.23,0.06,0.054,64.1604684980553,0.055,0.092,0.092,0,0.32,0.29,0.39,0.6248,0.33,0.44,6.79,12.7,30.8,6.79,12.7,30.8,0.03,0.06,0,1950,522.81,753.93,982.35,0.95,0.8,0.017,14289646.3883639,41.9984676869544,340242.089184663
