"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"2343",0.7,0.185185185185185,0.58,0.62,0.188,37.0410155736709,0.054,0.05,0.099,0,0.33,0.44,0.37,0.472,0.34,0.2,6.29,11.7,24.3,6.29,11.7,24.3,0,0.03,0,1950,622.81,1153.93,1932.35,0.95,0.65,0.01,11410222.4218192,218.232338598487,52284.7461338543
"2344",0.7,0.173076923076923,0.33,0.81,0.105,74.1356813926013,0.052,0.04,0.064,0,0.38,0.5,0.22,0.384,0.12,0.3,6.29,17.7,20.8,6.29,17.7,20.8,0.03,0.03,0,900,672.81,603.93,1232.35,0.95,0.7,0.009,6323250.02298018,265.609526854053,23806.563333305
"2345",0.1,0.148148148148148,0.1,0.11,0.197,46.3239384560262,0.054,0.023,0.063,0,0.15,0.47,0.15,0.506,0.35,0.24,6.79,11.2,33.3,6.79,11.2,33.3,0,0,0,1400,522.81,1203.93,1782.35,0.95,0.8,0.008,8663493.10969727,64.3301677204586,134672.322748229
"2346",0.4,0.323529411764706,0.89,0.46,0.174,36.4458312177058,0.034,0.069,0.076,0,0.21,0.16,0.39,0.3448,0.28,0.09,5.79,9.2,19.3,5.79,9.2,19.3,0.06,0.03,0,1150,422.81,903.93,982.35,0.8,0.8,0.011,6914687.19155091,130.244059692519,53090.2308164775
"2347",0.4,0.0983606557377049,0.52,0.17,0.183,62.929612734234,0.061,0.051,0.045,0,0.42,0.28,0.32,0.289,0.21,0.1,6.79,9.2,29.8,6.79,9.2,29.8,0,0,0,1200,572.81,653.93,1982.35,0.95,0.75,0.006,7636606.04673901,85.2364670292513,89593.1789866218
"2348",0.9,0.15625,0.53,0.73,0.173,64.4247639260618,0.032,0.064,0.017,0,0.2,0.35,0.16,0.2524,0.11,0.16,6.79,19.2,25.8,6.79,19.2,25.8,0.03,0,0,1050,622.81,953.93,1432.35,0.95,0.7,0.005,6832312.88795904,69.2746218575612,98626.4912713242
"2349",1,0.254545454545455,0.48,0.45,0.105,111.383426380268,0.055,0.069,0.021,0,0.45,0.5,0.44,0.235,0.15,0.1,6.29,14.7,29.3,6.29,14.7,29.3,0.03,0.06,0,1000,522.81,653.93,1432.35,0.95,0.7,0.014,6444915.78754884,21.2546727627118,303223.477467764
"2350",0.9,0.145833333333333,0.89,0.76,0.165,46.1471299313896,0.048,0.05,0.073,0,0.34,0.39,0.42,0.91,0.82,0.5,6.29,18.2,32.3,6.29,18.2,32.3,0.06,0,0,2050,622.81,1153.93,1382.35,0.9,0.8,0.007,12839925.3868202,132.852177597327,96648.2117119511
"2351",0.3,0.254901960784314,0.82,0.35,0.083,90.6962366106578,0.051,0.035,0.03,0,0.29,0.43,0.12,0.712,0.7,0.04,6.29,11.7,40.8,6.29,11.7,40.8,0,0.06,0,1600,422.81,603.93,1232.35,0.8,0.75,0.013,10921805.1416755,234.957845192209,46484.1049795161
"2352",1,0.285714285714286,0.85,0.51,0.139,80.1300860740177,0.042,0.027,0.094,0,0.3,0.32,0.42,0.7255,0.55,0.39,6.79,10.7,40.3,6.79,10.7,40.3,0,0.03,0,1250,672.81,1003.93,1932.35,0.85,0.8,0.012,7279877.31786469,110.50721121811,65876.9435733589
