"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1134",0.4,0.30379746835443,0.32,0.49,0.026,79.1085231803374,0.079,0.175,0.089,0,0.28,0.5,0.14,0.8841,0.81,0.39,6.79,10.7,39.3,6.79,10.7,39.3,0.03,0.06,0,1650,572.81,1053.93,1332.35,0.9,0.75,0.024,12594965.4902139,354.078318168684,35571.1288828862
"1135",0.8,0.316455696202532,0.59,0.21,0.031,58.6599252482818,0.079,0.201,0.067,0,0.3,0.33,0.47,0.424,0.2,0.28,6.29,11.7,24.8,6.29,11.7,24.8,0.06,0.03,0,1400,422.81,1153.93,1032.35,0.75,0.65,0.025,11232148.8832439,85.4370372302756,131466.975533928
"1136",0.7,0.333333333333333,0.31,0.72,0.033,37.8533791454873,0.078,0.229,0.08,0,0.38,0.49,0.33,0.7975,0.73,0.25,5.79,14.7,19.3,5.79,14.7,19.3,0,0.03,0,1050,422.81,903.93,1332.35,0.95,0.7,0.026,8293572.58309445,388.434870814287,21351.2565586823
"1137",0.5,0.270588235294118,0.51,0.27,0.028,86.1885215473809,0.085,0.229,0.005,0,0.21,0.41,0.46,0.802,0.8,0.01,6.29,18.2,30.8,6.29,18.2,30.8,0.06,0.03,0,2100,522.81,803.93,1432.35,0.85,0.75,0.023,17296091.315575,165.053086421156,104791.080800765
"1138",1,0.275,0.3,0.32,0.029,44.8849735018652,0.08,0.212,0.078,0,0.18,0.3,0.26,0.3838,0.21,0.22,6.79,14.7,19.3,6.79,14.7,19.3,0.03,0.06,0,1600,572.81,1253.93,1032.35,0.95,0.75,0.022,12260726.9260982,23.6209282451919,519062.028334721
"1139",0,0.325301204819277,0.39,0.36,0.033,65.4303567505791,0.083,0.221,0.002,0,0.17,0.21,0.1,0.8894,0.86,0.21,6.29,10.7,21.3,6.29,10.7,21.3,0.03,0.03,0,1850,572.81,853.93,1882.35,0.8,0.8,0.027,15215614.3312143,278.312489641736,54670.9720099192
"1140",0.7,0.32,0.75,0.55,0.03,41.0550975771981,0.075,0.239,0.07,0,0.39,0.29,0.34,0.3736,0.13,0.28,6.79,23.7,28.8,6.79,23.7,28.8,0,0,0,900,472.81,703.93,1082.35,0.9,0.8,0.024,7373193.16081601,199.627036223888,36934.8425959034
"1141",0.8,0.373333333333333,0.61,0.76,0.031,34.976214100099,0.075,0.231,0.029,0,0.45,0.43,0.42,0.736,0.52,0.45,5.79,19.7,37.3,5.79,19.7,37.3,0.03,0.03,0,2200,622.81,753.93,1582.35,0.8,0.75,0.028,17293952.7567596,273.862111725824,63148.3948172916
"1142",0.2,0.37037037037037,0.62,0.64,0.032,44.3893140002304,0.081,0.249,0.093,0,0.16,0.17,0.16,0.7953,0.77,0.11,5.79,17.2,22.3,5.79,17.2,22.3,0.06,0.03,0,1700,472.81,703.93,1282.35,1,0.85,0.03,13801337.2264143,345.280046590904,39971.4300397047
"1143",0.1,0.320512820512821,0.5,0.41,0.026,37.7635448332863,0.078,0.227,0.08,0,0.4,0.11,0.44,0.37,0.3,0.1,6.79,22.7,30.3,6.79,22.7,30.3,0.06,0.06,0,2200,622.81,653.93,1682.35,0.95,0.65,0.025,17151569.4304414,506.368655895708,33871.7044010204
