"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1429",0.6,0.2,0.64,0.52,0.071,42.7319156739357,0.035,0.0016,0.093,0,0.23,0.38,0.17,0.312,0.14,0.2,6.79,11.7,28.3,6.79,11.7,28.3,0.06,0,0,1200,672.81,953.93,1582.35,0.9,0.8,0.007,9888261.47873784,142.981143456688,69157.8010895765
"1430",0.7,0.25,0.51,0.74,0.074,41.4244582253305,0.04,0.0015,0.047,0,0.42,0.12,0.25,0.8843,0.87,0.11,6.29,14.2,21.8,6.29,14.2,21.8,0.03,0.06,0,1300,522.81,703.93,1382.35,0.85,0.8,0.01,9088421.33624235,193.769650236846,46903.2241382152
"1431",0.6,0.3,0.67,0.27,0.078,75.1708299741354,0.03,0.0013,0.072,0,0.45,0.43,0.43,0.7114,0.63,0.22,6.79,12.2,28.8,6.79,12.2,28.8,0.03,0.06,0,1350,572.81,603.93,1182.35,0.75,0.85,0.009,9306347.05027898,84.7144761556483,109855.451778751
"1432",0.7,0.225,0.34,0.55,0.075,43.4443595870151,0.04,0.0019,0.068,0,0.46,0.22,0.37,0.5296,0.16,0.44,6.29,10.7,19.8,6.29,10.7,19.8,0,0.06,0,1700,522.81,903.93,2132.35,1,0.75,0.009,11963144.1189456,199.512044951841,59962.0144329296
"1433",0.6,0.222222222222222,0.21,0.9,0.076,84.2291906890689,0.045,0.0017,0.057,0,0.16,0.3,0.33,0.483,0.45,0.06,6.29,16.2,28.8,6.29,16.2,28.8,0.03,0,0,600,572.81,703.93,1882.35,0.8,0.85,0.01,4852809.28884866,175.953241567283,27580.1073377382
"1434",0.4,0.2,0.61,0.23,0.071,34.8234113014266,0.04,0.0015,0.01,0,0.36,0.43,0.26,0.4126,0.11,0.34,6.29,19.2,33.3,6.29,19.2,33.3,0,0.06,0,650,472.81,953.93,1732.35,0.9,0.75,0.008,4594452.76647858,144.111087163352,31881.3275016842
"1435",0.1,0.2,0.75,0.01,0.075,42.6372968327518,0.035,0.0013,0.047,0,0.45,0.21,0.37,0.248,0.2,0.06,6.79,11.2,33.3,6.79,11.2,33.3,0,0.03,0,1750,472.81,1003.93,1582.35,0.95,0.75,0.007,13295713.9392041,15.791514424358,841953.063013124
"1436",0.2,0.233333333333333,0.22,0.48,0.073,44.8556056166389,0.03,0.0014,0.094,0,0.43,0.24,0.33,0.415,0.35,0.1,5.79,16.7,40.3,5.79,16.7,40.3,0.03,0.06,0,2150,572.81,1003.93,1432.35,0.9,0.85,0.007,15285366.2419602,213.472867572817,71603.3209079659
"1437",0.8,0.228571428571429,0.56,0.38,0.073,53.3481923240882,0.035,0.001,0.01,0,0.16,0.11,0.15,0.7883,0.71,0.27,6.79,14.7,40.8,6.79,14.7,40.8,0.03,0.06,0,950,572.81,1253.93,1582.35,1,0.8,0.008,6615302.57932355,77.567557063292,85284.4002025967
"1438",0.7,0.175,0.45,0.48,0.079,65.2834779669228,0.04,0.0013,0.012,0,0.2,0.32,0.31,0.4258,0.42,0.01,6.79,9.2,27.3,6.79,9.2,27.3,0,0.03,0,950,522.81,1203.93,1182.35,1,0.75,0.007,7136396.66650348,158.746696407796,44954.6152958746
