"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"2353",0.8,0.371428571428571,0.41,0.66,0.066,34.7902498265378,0.07,0.01,0.038,0,0.13,0.3,0.43,0.766,0.61,0.4,6.29,9.7,40.3,6.29,9.7,40.3,0.03,0.03,70,1700,472.81,1103.93,1382.35,0.85,0.7,0.026,17751577.5979026,300.521905042297,59069.1636784485
"2354",0,0.86,0.51,0.45,0.187,48.1393633923475,0.05,0.046,0.017,0,0.16,0.33,0.15,0.7552,0.64,0.32,6.79,11.2,24.3,6.79,11.2,24.3,0.06,0.03,40,550,422.81,653.93,1982.35,0.95,0.8,0.043,310200.038846089,355.494932963524,872.586386141029
"2355",0.3,0.96,0.12,0.62,0.075,26.3462310311794,0.05,0.029,0.049,0,0.11,0.41,0.44,0.824,0.45,0.68,6.79,10.7,31.3,6.79,10.7,31.3,0,0.03,160,850,572.81,1253.93,1032.35,0.8,0.85,0.048,-12347083.926377,469.120179440532,-26319.6606487959
"2356",0.8,0.214285714285714,0.18,0.34,0.172,152.936247614724,0.07,0.031,0.078,0,0.21,0.17,0.16,0.8028,0.32,0.71,5.79,22.7,24.8,5.79,22.7,24.8,0,0,90,1050,472.81,1253.93,1582.35,0.85,0.75,0.015,8028373.24164962,110.313830857769,72777.5762950418
"2357",0.6,0.44,0.1,0.79,0.13,63.3366899045747,0.05,0.066,0.005,0,0.28,0.35,0.12,0.7272,0.56,0.38,6.29,24.2,25.8,6.29,24.2,25.8,0.03,0,120,2250,672.81,1103.93,2032.35,0.9,0.8,0.022,13200283.0475654,355.787056485214,37101.6393287875
"2358",0.2,0.585714285714286,0.15,0.36,0.144,95.8803627524323,0.07,0.014,0.091,0,0.41,0.15,0.42,0.8784,0.68,0.62,6.29,23.2,35.8,6.29,23.2,35.8,0.06,0.06,150,1800,522.81,903.93,1082.35,0.9,0.75,0.041,5975873.33549209,423.192267114448,14120.9417086914
"2359",0.3,0.6,0.8,0.01,0.074,47.93441154501,0.03,0.087,0.093,0,0.4,0.18,0.12,0.8825,0.53,0.75,6.79,19.2,31.8,6.79,19.2,31.8,0.06,0.03,10,1900,422.81,1003.93,1582.35,0.9,0.7,0.018,22180952.5379966,197.024421560946,112579.711501071
"2360",0.4,0.25,0.39,0.28,0.11,37.7037518128778,0.04,0.017,0.044,0,0.19,0.32,0.45,0.8822,0.69,0.62,6.29,24.2,34.8,6.29,24.2,34.8,0.06,0,100,650,422.81,703.93,1832.35,0.75,0.75,0.01,2382765.74960572,175.021266714226,13614.1498364098
"2361",0.5,0.38,0.39,0.55,0.118,56.5899615562224,0.1,0.031,0.004,0,0.14,0.32,0.28,0.792,0.68,0.35,6.79,22.2,28.3,6.79,22.2,28.3,0.03,0.06,180,2100,472.81,803.93,1582.35,0.8,0.85,0.038,6727796.28234066,251.781568152457,26720.765668863
"2362",0.5,0.366666666666667,0.56,0.08,0.131,42.3657978646285,0.06,0.084,0.078,0,0.34,0.1,0.43,0.718,0.4,0.53,5.79,23.2,27.3,5.79,23.2,27.3,0.03,0.03,50,2100,672.81,703.93,1732.35,0.95,0.85,0.022,19131724.6443994,153.874081174383,124333.640197128
"2363",0.8,0.65,0.07,0.7,0.165,71.5835409574766,0.06,0.021,0.059,0,0.41,0.21,0.19,0.866,0.8,0.33,6.79,9.2,24.8,6.79,9.2,24.8,0.06,0.06,130,1800,522.81,653.93,1382.35,0.9,0.7,0.039,9729690.36794518,298.763351188528,32566.5458271201
"2364",0.9,0.25,0.56,0.44,0.03,50.8965185285223,0.06,0.044,0.069,0,0.25,0.36,0.48,0.7588,0.64,0.33,5.79,21.2,32.8,5.79,21.2,32.8,0.03,0.03,90,2300,372.81,653.93,1582.35,0.85,0.85,0.015,31892892.2562668,209.930510047282,151921.186916012
