"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"4864",0,2.05,0.03,0.1,0.061,79.9121682327516,0.02,0.039,0.016,0,0.12,0.46,0.48,0.6904,0.57,0.28,5.79,22.2,31.8,5.79,22.2,31.8,0,0,0,1600,572.81,853.93,1982.35,0.8,0.65,0.041,13160144.3460663,141.968336325635,92697.7429381202
"4865",0.2,0.22,0.61,0.03,0.025,43.6748763104174,0.1,0.01,0.047,0,0.32,0.45,0.16,0.6732,0.57,0.24,6.79,12.7,28.8,6.79,12.7,28.8,0,0,0,2200,372.81,1053.93,1032.35,0.9,0.85,0.022,20212435.6716616,70.5844519951002,286358.186546022
"4866",1,0.366666666666667,0.35,0.82,0.083,40.7700985984017,0.06,0.071,0.098,0,0.45,0.22,0.21,0.934,0.88,0.45,6.79,18.7,28.3,6.79,18.7,28.3,0.03,0.03,0,600,422.81,1053.93,982.35,0.85,0.8,0.022,4030915.51207272,97.6271530609151,41288.8769741918
"4867",0.2,0.511111111111111,0.82,0.87,0.19,56.887536972428,0.09,0.026,0.045,0,0.45,0.27,0.25,0.8803,0.79,0.43,6.29,17.7,34.8,6.29,17.7,34.8,0.06,0.03,0,2200,422.81,803.93,1532.35,0.9,0.8,0.046,12233515.8994175,459.833486019738,26604.2301645087
"4868",0.6,0.544444444444444,0.78,0.21,0.098,57.2614798680539,0.09,0.007,0.037,0,0.19,0.18,0.39,0.4604,0.29,0.24,6.29,19.7,38.8,6.29,19.7,38.8,0.03,0.03,0,1250,472.81,1103.93,1482.35,0.95,0.85,0.049,8110565.33338378,122.704708290416,66098.2406167151
"4869",0.4,0.975,0.64,0.09,0.03,48.8623948834913,0.04,0.014,0.1,0,0.45,0.42,0.34,0.7867,0.73,0.21,6.79,16.2,33.3,6.79,16.2,33.3,0,0.03,0,2150,572.81,1303.93,1032.35,0.9,0.8,0.039,17281793.876871,236.229978449809,73156.6501012182
"4870",0.3,0.255555555555556,0.65,0.25,0.071,146.892844316967,0.09,0.055,0.002,0,0.27,0.17,0.22,0.595,0.55,0.1,6.79,12.2,20.3,6.79,12.2,20.3,0.03,0.03,0,900,622.81,603.93,1532.35,0.75,0.75,0.023,6587598.62230743,156.314522486934,42143.2283929861
"4871",0.6,0.22,0.37,0.61,0.118,54.7551954190531,0.1,0.056,0.085,0,0.29,0.23,0.19,0.4756,0.43,0.08,6.29,16.2,24.3,6.29,16.2,24.3,0.03,0,0,1750,672.81,1253.93,1032.35,0.95,0.8,0.022,12644918.8874631,188.97882314156,66911.8299990207
"4872",0,0.566666666666667,0.6,0.12,0.109,66.7932309235837,0.06,0.077,0.07,0,0.1,0.35,0.18,0.8164,0.66,0.46,6.29,18.2,32.8,6.29,18.2,32.8,0,0.03,0,1000,522.81,903.93,1132.35,0.8,0.75,0.034,6653762.62755739,110.604144258104,60158.3482444411
"4873",0.6,0.377777777777778,0.2,0.31,0.177,106.020831159915,0.09,0.067,0.068,0,0.15,0.38,0.32,0.703,0.46,0.45,6.29,10.7,30.3,6.29,10.7,30.3,0.03,0.06,0,1600,572.81,603.93,2082.35,0.9,0.8,0.034,8781231.42313713,94.3593208139046,93061.6217602442
"4874",0.3,0.4125,0.53,0.58,0.062,37.5751218553522,0.08,0.077,0.082,0,0.24,0.36,0.44,0.4604,0.29,0.24,5.79,11.7,34.8,5.79,11.7,34.8,0,0.03,0,1550,672.81,703.93,1982.35,0.8,0.75,0.033,11822148.6749753,369.381538492722,32005.2505147282
"4875",0.5,0.35,0.66,0.11,0.114,108.681240041483,0.02,0.026,0.052,0,0.42,0.2,0.11,0.9364,0.88,0.47,6.79,24.2,24.8,6.79,24.2,24.8,0,0.06,0,1300,522.81,753.93,1132.35,0.95,0.85,0.007,8309887.67677379,70.5245803333601,117829.665025926
